,Indicator Name,Country Code,Country Name,Year,Value,Location,Area,Population
491,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2015,356.64107,ALL,Health,1308975
492,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2016,331.47462,ALL,Health,1308975
493,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2017,311.53022999999996,ALL,Health,1308975
494,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GIN,Guinea,2018,283.88739,ALL,Health,1308975
495,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2010,398.41022999999996,ALL,Health,30066648
496,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2011,389.92157000000003,ALL,Health,30066648
497,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2012,381.77951,ALL,Health,30066648
498,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2013,376.97971,ALL,Health,30066648
499,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2014,364.83436,ALL,Health,30066648
500,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2015,355.87543999999997,ALL,Health,30066648
501,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2016,344.82063,ALL,Health,30066648
502,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2017,326.39727999999997,ALL,Health,30066648
503,"Malaria incidence per 1,000 population at risk (per 1,000 population)",MOZ,Mozambique,2018,305.35874,ALL,Health,30066648
504,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2010,134.36726000000002,ALL,Health,1874303
505,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2011,140.5525,ALL,Health,1874303
506,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2012,128.74607,ALL,Health,1874303
507,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2013,113.39177,ALL,Health,1874303
508,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2014,93.89973,ALL,Health,1874303
509,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2015,79.7677,ALL,Health,1874303
510,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2016,71.35019,ALL,Health,1874303
511,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2017,78.33072,ALL,Health,1874303
512,"Malaria incidence per 1,000 population at risk (per 1,000 population)",GNB,Guinea-Bissau,2018,123.31191000000001,ALL,Health,1874303
513,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2010,99.7401,ALL,Health,1300000
514,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2011,31.26854,ALL,Health,1300000
515,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2012,7.26352,ALL,Health,1300000
516,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2013,1.5599100000000001,ALL,Health,1300000
517,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2014,0.51427,ALL,Health,1300000
518,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2015,0.12354000000000001,ALL,Health,1300000
519,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2016,0.11335999999999999,ALL,Health,1300000
520,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2017,0.031639999999999995,ALL,Health,1300000
521,"Malaria incidence per 1,000 population at risk (per 1,000 population)",TLS,Timor-Leste,2018,0.0,ALL,Health,1300000
522,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2010,15.190829999999998,ALL,Health,211028
523,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2011,45.750890000000005,ALL,Health,211028
524,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2012,56.80116999999999,ALL,Health,211028
525,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2013,48.12158,ALL,Health,211028
526,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2014,8.96146,ALL,Health,211028
527,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2015,10.31894,ALL,Health,211028
528,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2016,11.01264,ALL,Health,211028
529,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2017,10.81193,ALL,Health,211028
530,"Malaria incidence per 1,000 population at risk (per 1,000 population)",STP,Sao Tome and Principe,2018,13.917320000000002,ALL,Health,211028
531,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",AGO,Angola,2010,17.8,FEMALE,Health,31127674
532,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",AGO,Angola,2010,18.6,MALE,Health,31127674
533,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",AGO,Angola,2015,17.6,MALE,Health,31127674
534,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",AGO,Angola,2015,16.3,FEMALE,Health,31127674
535,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",AGO,Angola,2016,16.0,FEMALE,Health,31127674
536,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",AGO,Angola,2016,17.2,MALE,Health,31127674
537,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",BRA,Brazil,2010,23.0,MALE,Health,210147125
538,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",BRA,Brazil,2010,15.4,FEMALE,Health,210147125
539,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",BRA,Brazil,2015,20.5,MALE,Health,210147125
540,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",BRA,Brazil,2015,13.8,FEMALE,Health,210147125
541,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",BRA,Brazil,2016,13.5,FEMALE,Health,210147125
542,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",BRA,Brazil,2016,20.0,MALE,Health,210147125
543,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",CPV,Cabo Verde,2010,20.0,MALE,Health,543767
544,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",CPV,Cabo Verde,2010,17.2,FEMALE,Health,543767
545,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",CPV,Cabo Verde,2015,16.1,FEMALE,Health,543767
546,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",CPV,Cabo Verde,2015,19.1,MALE,Health,543767
547,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",CPV,Cabo Verde,2016,19.0,MALE,Health,543767
548,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",CPV,Cabo Verde,2016,15.9,FEMALE,Health,543767
549,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GIN,Guinea,2010,23.3,FEMALE,Health,1308975
550,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GIN,Guinea,2010,22.9,MALE,Health,1308975
551,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GIN,Guinea,2015,22.0,MALE,Health,1308975
552,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GIN,Guinea,2015,23.2,FEMALE,Health,1308975
553,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GIN,Guinea,2016,22.9,FEMALE,Health,1308975
554,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GIN,Guinea,2016,21.8,MALE,Health,1308975
555,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",MOZ,Mozambique,2010,18.9,FEMALE,Health,30066648
556,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",MOZ,Mozambique,2010,22.1,MALE,Health,30066648
557,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",MOZ,Mozambique,2015,17.4,FEMALE,Health,30066648
558,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",MOZ,Mozambique,2015,19.8,MALE,Health,30066648
559,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",MOZ,Mozambique,2016,17.4,FEMALE,Health,30066648
560,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",MOZ,Mozambique,2016,19.6,MALE,Health,30066648
561,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",PRT,Portugal,2010,7.8,FEMALE,Health,10295909
562,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",PRT,Portugal,2010,16.8,MALE,Health,10295909
563,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",PRT,Portugal,2015,7.1,FEMALE,Health,10295909
564,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",PRT,Portugal,2015,15.7,MALE,Health,10295909
565,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",PRT,Portugal,2016,7.0,FEMALE,Health,10295909
566,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",PRT,Portugal,2016,15.5,MALE,Health,10295909
567,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GNB,Guinea-Bissau,2010,22.0,MALE,Health,1874303
568,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GNB,Guinea-Bissau,2010,21.0,FEMALE,Health,1874303
569,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GNB,Guinea-Bissau,2015,19.7,FEMALE,Health,1874303
570,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GNB,Guinea-Bissau,2015,20.0,MALE,Health,1874303
571,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",GNB,Guinea-Bissau,2016,19.9,FEMALE,Health,1874303
572,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",GNB,Guinea-Bissau,2016,20.2,MALE,Health,1874303
573,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",TLS,Timor-Leste,2010,21.4,FEMALE,Health,1300000
574,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",TLS,Timor-Leste,2010,24.9,MALE,Health,1300000
575,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",TLS,Timor-Leste,2015,18.0,FEMALE,Health,1300000
576,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",TLS,Timor-Leste,2015,21.7,MALE,Health,1300000
577,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",TLS,Timor-Leste,2016,18.0,FEMALE,Health,1300000
578,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",TLS,Timor-Leste,2016,21.7,MALE,Health,1300000
579,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",STP,Sao Tome and Principe,2010,19.0,FEMALE,Health,211028
580,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",STP,Sao Tome and Principe,2010,18.1,MALE,Health,211028
581,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",STP,Sao Tome and Principe,2015,18.7,FEMALE,Health,211028
582,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",STP,Sao Tome and Principe,2015,18.7,MALE,Health,211028
583,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) MALE",STP,Sao Tome and Principe,2016,18.7,MALE,Health,211028
584,"Mortality rate attributed to cardiovascular disease, cancer, diabetes or chronic respiratory disease (probability) FEMALE",STP,Sao Tome and Principe,2016,18.6,FEMALE,Health,211028
585,Universal health coverage (UHC) service coverage index,AGO,Angola,2010,35.0,ALL,Urbanism,31127674
586,Universal health coverage (UHC) service coverage index,AGO,Angola,2015,38.0,ALL,Urbanism,31127674
587,Universal health coverage (UHC) service coverage index,AGO,Angola,2017,40.0,ALL,Urbanism,31127674
588,Universal health coverage (UHC) service coverage index,BRA,Brazil,2010,70.0,ALL,Urbanism,210147125
589,Universal health coverage (UHC) service coverage index,BRA,Brazil,2015,78.0,ALL,Urbanism,210147125
590,Universal health coverage (UHC) service coverage index,BRA,Brazil,2017,79.0,ALL,Urbanism,210147125
591,Universal health coverage (UHC) service coverage index,CPV,Cabo Verde,2010,61.0,ALL,Urbanism,543767
592,Universal health coverage (UHC) service coverage index,CPV,Cabo Verde,2015,67.0,ALL,Urbanism,543767
593,Universal health coverage (UHC) service coverage index,CPV,Cabo Verde,2017,69.0,ALL,Urbanism,543767
594,Universal health coverage (UHC) service coverage index,GIN,Guinea,2010,28.0,ALL,Urbanism,1308975
595,Universal health coverage (UHC) service coverage index,GIN,Guinea,2015,34.0,ALL,Urbanism,1308975
596,Universal health coverage (UHC) service coverage index,GIN,Guinea,2017,37.0,ALL,Urbanism,1308975
597,Universal health coverage (UHC) service coverage index,MOZ,Mozambique,2010,34.0,ALL,Urbanism,30066648
598,Universal health coverage (UHC) service coverage index,MOZ,Mozambique,2015,43.0,ALL,Urbanism,30066648
599,Universal health coverage (UHC) service coverage index,MOZ,Mozambique,2017,46.0,ALL,Urbanism,30066648
600,Universal health coverage (UHC) service coverage index,PRT,Portugal,2010,78.0,ALL,Urbanism,10295909
601,Universal health coverage (UHC) service coverage index,PRT,Portugal,2015,81.0,ALL,Urbanism,10295909
602,Universal health coverage (UHC) service coverage index,PRT,Portugal,2017,82.0,ALL,Urbanism,10295909
603,Universal health coverage (UHC) service coverage index,GNB,Guinea-Bissau,2010,32.0,ALL,Urbanism,1874303
604,Universal health coverage (UHC) service coverage index,GNB,Guinea-Bissau,2015,40.0,ALL,Urbanism,1874303
605,Universal health coverage (UHC) service coverage index,GNB,Guinea-Bissau,2017,40.0,ALL,Urbanism,1874303
606,Universal health coverage (UHC) service coverage index,TLS,Timor-Leste,2010,37.0,ALL,Urbanism,1300000
607,Universal health coverage (UHC) service coverage index,TLS,Timor-Leste,2015,49.0,ALL,Urbanism,1300000
608,Universal health coverage (UHC) service coverage index,TLS,Timor-Leste,2017,52.0,ALL,Urbanism,1300000
609,Universal health coverage (UHC) service coverage index,STP,Sao Tome and Principe,2010,51.0,ALL,Urbanism,211028
610,Universal health coverage (UHC) service coverage index,STP,Sao Tome and Principe,2015,53.0,ALL,Urbanism,211028
611,Universal health coverage (UHC) service coverage index,STP,Sao Tome and Principe,2017,55.0,ALL,Urbanism,211028
612,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2010,38.64,ALL,Urbanism,31127674
613,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2011,38.64,ALL,Urbanism,31127674
614,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2012,38.18,ALL,Urbanism,31127674
615,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2013,34.09,ALL,Urbanism,31127674
616,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2014,36.82,ALL,Urbanism,31127674
617,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2015,36.82,ALL,Urbanism,31127674
618,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2016,36.82,ALL,Urbanism,31127674
619,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2017,38.18,ALL,Urbanism,31127674
620,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2018,30.45,ALL,Urbanism,31127674
621,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2019,30.0,ALL,Urbanism,31127674
622,Proportion of seats held by women in national parliaments (% of total number of seats),AGO,Angola,2020,30.0,ALL,Urbanism,31127674
623,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2010,8.77,ALL,Urbanism,210147125
624,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2011,8.58,ALL,Urbanism,210147125
625,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2012,8.58,ALL,Urbanism,210147125
626,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2013,8.58,ALL,Urbanism,210147125
627,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2014,8.58,ALL,Urbanism,210147125
628,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2015,8.97,ALL,Urbanism,210147125
629,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2016,9.94,ALL,Urbanism,210147125
630,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2017,10.72,ALL,Urbanism,210147125
631,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2018,10.72,ALL,Urbanism,210147125
632,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2019,15.01,ALL,Urbanism,210147125
633,Proportion of seats held by women in national parliaments (% of total number of seats),BRA,Brazil,2020,14.62,ALL,Urbanism,210147125
634,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2010,18.06,ALL,Urbanism,543767
635,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2011,18.06,ALL,Urbanism,543767
636,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2012,20.83,ALL,Urbanism,543767
637,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2013,20.83,ALL,Urbanism,543767
638,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2014,20.83,ALL,Urbanism,543767
639,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2015,20.83,ALL,Urbanism,543767
640,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2016,20.83,ALL,Urbanism,543767
641,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2017,23.61,ALL,Urbanism,543767
642,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2018,23.61,ALL,Urbanism,543767
643,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2019,23.61,ALL,Urbanism,543767
644,Proportion of seats held by women in national parliaments (% of total number of seats),CPV,Cabo Verde,2020,25.0,ALL,Urbanism,543767
645,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2014,21.93,ALL,Urbanism,1308975
646,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2015,21.93,ALL,Urbanism,1308975
647,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2016,21.93,ALL,Urbanism,1308975
648,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2017,21.93,ALL,Urbanism,1308975
649,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2018,21.93,ALL,Urbanism,1308975
650,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2019,22.81,ALL,Urbanism,1308975
651,Proportion of seats held by women in national parliaments (% of total number of seats),GIN,Guinea,2020,22.81,ALL,Urbanism,1308975
652,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2010,39.2,ALL,Urbanism,30066648
653,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2011,39.2,ALL,Urbanism,30066648
654,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2012,39.2,ALL,Urbanism,30066648
655,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2013,39.2,ALL,Urbanism,30066648
656,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2014,39.2,ALL,Urbanism,30066648
657,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2015,39.6,ALL,Urbanism,30066648
658,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2016,39.6,ALL,Urbanism,30066648
659,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2017,39.6,ALL,Urbanism,30066648
660,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2018,39.6,ALL,Urbanism,30066648
661,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2019,39.6,ALL,Urbanism,30066648
662,Proportion of seats held by women in national parliaments (% of total number of seats),MOZ,Mozambique,2020,41.2,ALL,Urbanism,30066648
663,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2010,27.39,ALL,Urbanism,10295909
664,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2011,27.39,ALL,Urbanism,10295909
665,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2012,28.7,ALL,Urbanism,10295909
666,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2013,28.7,ALL,Urbanism,10295909
667,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2014,31.3,ALL,Urbanism,10295909
668,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2015,31.3,ALL,Urbanism,10295909
669,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2016,34.78,ALL,Urbanism,10295909
670,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2017,34.78,ALL,Urbanism,10295909
671,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2018,34.78,ALL,Urbanism,10295909
672,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2019,35.65,ALL,Urbanism,10295909
673,Proportion of seats held by women in national parliaments (% of total number of seats),PRT,Portugal,2020,40.0,ALL,Urbanism,10295909
674,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2010,10.0,ALL,Urbanism,1874303
675,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2011,10.0,ALL,Urbanism,1874303
676,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2012,10.0,ALL,Urbanism,1874303
677,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2013,14.0,ALL,Urbanism,1874303
678,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2014,11.0,ALL,Urbanism,1874303
679,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2015,13.73,ALL,Urbanism,1874303
680,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2016,13.73,ALL,Urbanism,1874303
681,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2017,13.73,ALL,Urbanism,1874303
682,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2018,13.73,ALL,Urbanism,1874303
683,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2019,13.73,ALL,Urbanism,1874303
684,Proportion of seats held by women in national parliaments (% of total number of seats),GNB,Guinea-Bissau,2020,13.73,ALL,Urbanism,1874303
685,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2010,29.23,ALL,Urbanism,1300000
686,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2011,29.23,ALL,Urbanism,1300000
687,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2012,32.31,ALL,Urbanism,1300000
688,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2013,38.46,ALL,Urbanism,1300000
689,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2014,38.46,ALL,Urbanism,1300000
690,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2015,38.46,ALL,Urbanism,1300000
691,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2016,38.46,ALL,Urbanism,1300000
692,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2017,38.46,ALL,Urbanism,1300000
693,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2018,32.31,ALL,Urbanism,1300000
694,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2019,40.0,ALL,Urbanism,1300000
695,Proportion of seats held by women in national parliaments (% of total number of seats),TLS,Timor-Leste,2020,38.46,ALL,Urbanism,1300000
696,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2010,7.27,ALL,Urbanism,211028
697,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2011,18.18,ALL,Urbanism,211028
698,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2012,18.18,ALL,Urbanism,211028
699,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2013,18.18,ALL,Urbanism,211028
700,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2014,18.18,ALL,Urbanism,211028
701,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2015,18.18,ALL,Urbanism,211028
702,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2016,18.18,ALL,Urbanism,211028
703,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2017,18.18,ALL,Urbanism,211028
704,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2018,18.18,ALL,Urbanism,211028
705,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2019,14.55,ALL,Urbanism,211028
706,Proportion of seats held by women in national parliaments (% of total number of seats),STP,Sao Tome and Principe,2020,14.55,ALL,Urbanism,211028
707,"Proportion of population with access to electricity, URBAN (%)",AGO,Angola,2010,81.88643,URBAN,Urbanism,31127674
708,"Proportion of population with access to electricity, RURAL (%)",AGO,Angola,2010,0.0,RURAL,Urbanism,31127674
709,"Proportion of population with access to electricity, RURAL (%)",AGO,Angola,2011,0.0,RURAL,Urbanism,31127674
710,"Proportion of population with access to electricity, URBAN (%)",AGO,Angola,2011,82.5,URBAN,Urbanism,31127674
